name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
"Primary Health Centre, Karakurissi",Primary Health Centre (PHC),Palakkad,,Ponnamgode Karakkurussi Road,,,,,10.9311202,76.497225,way/1036760503,OpenStreetMap
"Primary Health Centre, Karassery",Primary Health Centre (PHC),Kozhikode,,,,,,,11.3184344,76.0357894,node/9905315388,OpenStreetMap
"Primary Health Centre, Karicheri",Primary Health Centre (PHC),Kasaragod,,"Karicheri, Thekkil, 671541",,,,government,12.4621783,75.0883229,way/803070013,OpenStreetMap
"Primary Health Centre, Karikkattoor",Primary Health Centre (PHC),Kottayam,,"kottayam, 686544",+91-4828-246560,,,Department of Health and Family Welfare,9.463825,76.7839843,way/800701593,OpenStreetMap
"Primary health centre, Karikkottakari",Primary Health Centre (PHC),Kannur,,karikottakari,,,,Government,12.0009109,75.7550362,way/800011181,OpenStreetMap
"Primary Health Centre, Karimannor",Primary Health Centre (PHC),Idukki,,,,,,DEPARTMENT OF HEALTH SERVICES,9.9136353,76.7872437,way/797916603,OpenStreetMap
"Primary Health Centre, Karindalam",Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.2877042,75.248119,node/7471596345,OpenStreetMap
"Primary Health Centre, Karoor",Primary Health Centre (PHC),Kottayam,,,+91-4822-262893,,,DEPARTMENT OF HEALTH SERVICES,9.7588663,76.6809214,way/800691476,OpenStreetMap
"Primary Health Centre, Karulai",Primary Health Centre (PHC),Malappuram,,,,,,DHS,11.2874239,76.2988855,way/981001782,OpenStreetMap
"Primary Health Centre, Kattampak",Primary Health Centre (PHC),Kottayam,,,,,,department of health services,9.7799987,76.524768,way/801942576,OpenStreetMap
"Primary Health Centre, Kayakodi",Primary Health Centre (PHC),Kozhikode,,,,,,,11.6727986,75.7465651,node/10683368735,OpenStreetMap
"Primary health centre, Keezhalloor",Primary Health Centre (PHC),Kannur,,,,,,Government,11.930651,75.5178292,node/7481757547,OpenStreetMap
"Primary Health Centre, Keezhpally",Primary Health Centre (PHC),Kannur,,,,,,,11.9761985,75.7742315,way/908341239,OpenStreetMap
"Primary Health Centre, Kinnavallur",Primary Health Centre (PHC),Palakkad,,,,,,,10.8185947,76.5571206,node/10654019093,OpenStreetMap
"Primary Health Centre, Kodencherry",Primary Health Centre (PHC),Kozhikode,,,,,,,11.4350036,76.0076115,node/6726383726,OpenStreetMap
"Primary Health Centre, Kodiyeri",Primary Health Centre (PHC),Kannur,,,,,,,11.7458962,75.5307916,way/800012854,OpenStreetMap
"Primary Health Centre, Kokkayar",Primary Health Centre (PHC),Idukki,,,,,,Department of Health and Family Welfare,9.5673221,76.9323597,way/827577542,OpenStreetMap
"Primary health centre, Kolachery",Primary Health Centre (PHC),Kannur,,Taliparambu-Cherupuzha Road,,,,Government,11.9460771,75.4152546,node/7473177160,OpenStreetMap
"Primary Health Centre, Kolathur",Primary Health Centre (PHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.4104393,75.78574,way/800999120,OpenStreetMap
"Primary Health Centre, Konnakkad",Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.3708101,75.3831981,node/7470773193,OpenStreetMap
"Primary Health Centre, Koottilangadi",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0518737,76.1109238,way/736702074,OpenStreetMap
"Primary Health Centre, Kottamkara",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,8.9101486,76.6466592,way/891420359,OpenStreetMap
"Primary Health Centre, Kottayam Malabar",Primary Health Centre (PHC),Kannur,,,,,,government,11.8004026,75.5351744,node/7481948873,OpenStreetMap
"Primary Health Centre, Kozhuvanal",Primary Health Centre (PHC),Kottayam,,,,,,Department of Health and Family Welfare,9.6722435,76.6678907,node/7340455409,OpenStreetMap
"Primary health centre, Kudiyanmala",Primary Health Centre (PHC),Kannur,,,,,,Government,12.142408,75.5514683,node/7496618173,OpenStreetMap
"Primary Health Centre, Kulanada",Primary Health Centre (PHC),Pathanamthitta,,"MC Road, Kulanada, 689503",,,,,9.2453896,76.6706736,way/991396616,OpenStreetMap
"Primary Health Centre, Kulanada",Primary Health Centre (PHC),Pathanamthitta,,"MC Road, Kulanada, 689503",,,,Government,9.2455638,76.6707986,way/991396617,OpenStreetMap
"Primary Health Centre, Kumaranellur",Primary Health Centre (PHC),Palakkad,,,,,,,10.788145,76.0515671,way/863719676,OpenStreetMap
"Primary Health Centre, Kumarapuram",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.023763,76.4027412,way/800677917,OpenStreetMap
"Primary Health Centre, Kundayithod",Primary Health Centre (PHC),Kozhikode,,,,,,,11.1945645,75.8186736,node/7498975791,OpenStreetMap
"Primary Health Centre, Kunduthode",Primary Health Centre (PHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.6727917,75.8143906,way/801535880,OpenStreetMap
"Primary Health Centre, Kunissery",Primary Health Centre (PHC),Palakkad,,,,,,,10.6434555,76.5919912,way/827565084,OpenStreetMap
"Primary health centre, Kunjimangalam",Primary Health Centre (PHC),Kannur,,Edat-Kunhimangalam-Hanumarambalam Road,,,,Government,12.0834666,75.2362457,node/7473044048,OpenStreetMap
"Primary Health Centre, Kunnathoor",Primary Health Centre (PHC),Kollam,,,,,,,9.0736557,76.6958896,way/888955284,OpenStreetMap
"Primary Health Centre, Kurumathur",Primary Health Centre (PHC),Kannur,,"KURUMATHUR, PRIMARY HEALTH CENTRE ROAD KURUMATHUR, 670142",,,,GOVERNMENT,12.0233048,75.4076733,way/955577146,OpenStreetMap
"Primary Health Centre, Kuthannur",Primary Health Centre (PHC),Palakkad,,,,,,,10.7313039,76.5445295,way/863712478,OpenStreetMap
"Primary health centre, Kuttiattoor",Primary Health Centre (PHC),Kannur,,,,,,,11.9589815,75.474469,way/797894031,OpenStreetMap
"Primary health centre, Kuttiattor",Primary Health Centre (PHC),Kannur,,Taliparambu-Cherupuzha Road,,,,Government,11.9692309,75.4918069,node/7473170088,OpenStreetMap
"Primary Health Centre, Lakkidi",Primary Health Centre (PHC),Palakkad,,,,,,Department Of Health and Family Welfare,10.7742868,76.4287418,way/863724386,OpenStreetMap
"Primary Health Centre, Madikai",Primary Health Centre (PHC),Kasaragod,,"Madikkai, 671531",,,,,12.3165976,75.1448733,way/948591845,OpenStreetMap
"Primary Health Centre, Makkaraparamba",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0275155,76.1181221,way/800672673,OpenStreetMap
"Primary Health Centre, Malayattor",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.2043652,76.5279008,way/617752532,OpenStreetMap
"Primary Health Centre, Mallapuzhassery",Primary Health Centre (PHC),Pathanamthitta,,"onthecadu, mallappuzhassery, 689643",,,,department of health services,9.3110767,76.7088495,way/800655902,OpenStreetMap
"Primary Health Centre, Maloor",Primary Health Centre (PHC),Kannur,,Mattannur - Sivapuram -Tholambra - Peravoor Road,,,,Department of Public Health Service,11.8906114,75.67689,way/800017265,OpenStreetMap
"Primary Health Centre, Mampad",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.243509,76.1829612,way/800445422,OpenStreetMap
"Primary Health Centre, Mancode",Primary Health Centre (PHC),Kollam,,,,,,,9.1229591,76.8973518,node/9162336409,OpenStreetMap
"Primary Health Centre, Mancode,Pathanapuram",Primary Health Centre (PHC),Kollam,,0475-2379970,,,,Department of Health Services,9.1229171,76.8973644,way/799311159,OpenStreetMap
"primary health centre, mangad",Primary Health Centre (PHC),Kozhikode,,,,,,dept. of health services,11.4189707,75.8919667,way/801037598,OpenStreetMap
"Primary Health Centre, Mangad",Primary Health Centre (PHC),Kozhikode,,,,,,government,11.4131858,75.862219,way/863303270,OpenStreetMap
"Primary Health Centre, Mangalasseri",Primary Health Centre (PHC),Malappuram,,,,,,government,11.1348751,76.1191064,way/974383072,OpenStreetMap
"Primary health centre, Mangattidam",Primary Health Centre (PHC),Kannur,,,,,,Government,11.8644012,75.5439857,node/7496565712,OpenStreetMap
"Primary Health Centre, Manjinikara",Primary Health Centre (PHC),Pathanamthitta,,,,,,,9.2480949,76.7432256,node/7480010403,OpenStreetMap
"Primary Health Centre, Mannur",Primary Health Centre (PHC),Palakkad,,,,,,Department of Health and Family Welfare,10.8001674,76.4727407,way/485325191,OpenStreetMap
"Primary Health Centre, Maranchery",Primary Health Centre (PHC),Malappuram,,"Vellancode-Marancherry Road, 679579",,,,DEPARTMENT OF HEALTH SERVICES,10.7302806,75.9627457,way/800667094,OpenStreetMap
"Primary Health Centre, Marutharoad",Primary Health Centre (PHC),Palakkad,,,,,,,10.7868591,76.6955565,way/863726473,OpenStreetMap
"Primary Health Centre, Mattool",Primary Health Centre (PHC),Kannur,,Mattool,,,,Government,11.9668399,75.2876578,way/799723506,OpenStreetMap
"Primary Health Centre, Mavila kadapram",Primary Health Centre (PHC),Kasaragod,,671312,,,,Department of Helth Service,12.1940782,75.1245749,node/7470603481,OpenStreetMap
"Primary Health Centre, Meenachil",Primary Health Centre (PHC),Kottayam,,"REF ID1382, kizhaparayar road, kizhaparayar, 686578",+91 4822 238 036,phcmeenachil@gmail.com,,Department of health services,9.6968831,76.710005,way/800720661,OpenStreetMap
"Primary Health Centre, Meenadom",Primary Health Centre (PHC),Kottayam,,"Vettathukavala-Meenadom Road, meenadom, 686516",+91-481-2556648,,,DEPARTMENT OF HEALTH SERVICES,9.5509082,76.6168936,way/800688910,OpenStreetMap
"Primary Health Centre, Meenadom",Primary Health Centre (PHC),Kottayam,,,,,,,9.5515665,76.616164,way/961594331,OpenStreetMap
"Primary Health Centre, Meenja",Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.7127981,74.9529637,node/7470853277,OpenStreetMap
"Primary Health Centre, Mokeri",Primary Health Centre (PHC),Kannur,,Pathipalam - Cheruvanchery Road,,,,government,11.7920727,75.5797442,node/7478279895,OpenStreetMap
"Primary Health Centre, Mookkannor",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.2395353,76.420921,node/8889596629,OpenStreetMap
"Primary Health Centre, Moonniyur",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0700449,75.8851391,way/746520737,OpenStreetMap
"Primary Health Centre, Mooppainad",Primary Health Centre (PHC),Wayanad,,,,,,,11.5477549,76.2040551,node/9218305772,OpenStreetMap
"Primary Health Centre, Moorkkanad",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,10.9332401,76.1389637,node/7488755043,OpenStreetMap
"Primary Health Centre, Moucode",Primary Health Centre (PHC),Kasaragod,,"MOUCODE, 670511",,,,Department of Helth Service,12.288592,75.2998726,node/7470229109,OpenStreetMap
"Primary Health Centre, Mudakuzha",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.1419649,76.5099933,way/617684713,OpenStreetMap
"Primary Health Centre, Munroe Island",Primary Health Centre (PHC),Kollam,,0474-2543448,,,,Department of Health Services,8.9983314,76.615777,node/7475028041,OpenStreetMap
"Primary Health Centre, Muthuvalloor",Primary Health Centre (PHC),Malappuram,,"Kekkepuram - Vallikkattukundil, Mundakkulam, 673638",,,,DEPARTMENT OF HEALTH SERVICES,11.1893246,75.9764053,way/800632889,OpenStreetMap
"Primary Health Centre, Muttom",Primary Health Centre (PHC),Kannur,,Kannur-Calicut-Valanchery Highway,,,,Government,12.0300677,75.2423647,node/7473081342,OpenStreetMap
"Primary Health Centre, Muzhakunnu",Primary Health Centre (PHC),Kannur,,Iritty - Nedumpoil Road,,,,Government,11.9319254,75.7118877,node/7481775892,OpenStreetMap
"Primary Health Centre, Naduvannur, Kozhikode",Primary Health Centre (PHC),Kozhikode,,,,,,Department of Health and Family Welafare,11.4862574,75.7734849,way/800626442,OpenStreetMap
"Primary Health Centre, Nalleppilly",Primary Health Centre (PHC),Palakkad,,,,,,Department of Health and Family Welfare,10.7368319,76.7893899,way/827565106,OpenStreetMap
"Primary Health Centre, Nannambra",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0153262,75.9098933,way/800635113,OpenStreetMap
"Primary Health Centre, Nannammukku",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,10.7290118,76.038947,way/800665857,OpenStreetMap
"Primary Health Centre, Nattakom",Primary Health Centre (PHC),Kottayam,,"PHC Nattakom, Mariyappally P O,MC Road, Nattakom, 686013",+91-481-2362299,,,Department of Health and Family Welfare,9.5457468,76.5103986,node/7488986775,OpenStreetMap
"Primary Health Centre, Nediyiruppu",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.1281909,75.9753596,way/745002323,OpenStreetMap
"Primary Health Centre, Neelamperoor",Primary Health Centre (PHC),Alappuzha,,,+91-481-2726531,,,DEPARTMENT OF HEALTH SERVICES,9.4681902,76.4898342,way/670993089,OpenStreetMap
"Primary Health Centre, Neelangode",Primary Health Centre (PHC),Malappuram,,,,,,government,11.1759067,76.1183438,way/974383511,OpenStreetMap
"Primary Health Centre, Nilackal",Primary Health Centre (PHC),Pathanamthitta,,,,,,DHS,9.3905395,77.0116528,way/800642213,OpenStreetMap
"Primary Health Centre, Odanur",Primary Health Centre (PHC),Palakkad,,,,,,,10.7845874,76.5552957,way/863724389,OpenStreetMap
"Primary Health Centre, Okkal",Primary Health Centre (PHC),Ernakulam,,683544,,,,Department of Health and Family Welfare,10.1654881,76.4666945,way/849205280,OpenStreetMap
"Primary Health Centre, Othukkungal",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0269395,76.0295465,way/800460479,OpenStreetMap
"Primary Health Centre, Padiyoor",Primary Health Centre (PHC),Kannur,,,,,,,12.0005206,75.6278295,node/9218284383,OpenStreetMap
"Primary Health Centre, Padne",Primary Health Centre (PHC),Kasaragod,,"Padanna-Madakkara, Padne, 671312",,,,Department of health service,12.1746573,75.1495632,way/798839395,OpenStreetMap
"Primary Health centre, Palappetty",Primary Health Centre (PHC),Malappuram,,Ponnani-Chavakkad-Kodungallur Highway,,,,DHS(DEPARTMENT OF HEALTH SERVICES),10.6986501,75.9606598,way/799620155,OpenStreetMap
"Primary Health Centre, Pallikkal",Primary Health Centre (PHC),Malappuram,,,,,,,11.1359784,75.9253785,way/998747399,OpenStreetMap
"Primary Health Centre, Pallikkara",Primary Health Centre (PHC),Kasaragod,,"Bekal Fort road, Pallikkara-Kanhangad, 671316",+91 467 2275500,,,Department of Health and Family Welfare,12.3879885,75.0449368,way/942090343,OpenStreetMap
"Primary Health Centre, Pallikkunnu",Primary Health Centre (PHC),Kannur,,,,,,,11.8833612,75.3438158,node/9069458979,OpenStreetMap
"Primary health centre, Pallikunnu",Primary Health Centre (PHC),Kannur,,,,,,Government,11.887029,75.3398182,way/799754648,OpenStreetMap
"Primary Health Centre, pallipad",Primary Health Centre (PHC),Alappuzha,,,,,,department of health services,9.2806279,76.4771114,way/801495338,OpenStreetMap
"Primary Health Centre, Pallisery",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.2745193,76.4128171,way/863686625,OpenStreetMap
"Primary health centre, Pamburuthi",Primary Health Centre (PHC),Kannur,,,,,,Government,11.9649702,75.3853807,node/7473181589,OpenStreetMap
"Primary Health Centre, Pampadumpara",Primary Health Centre (PHC),Idukki,,,,,,,9.8032083,77.1493306,way/963243502,OpenStreetMap
"Primary Health Centre, Pampuruthy",Primary Health Centre (PHC),Kannur,,,,,,Government,11.9649701,75.3853826,way/799061028,OpenStreetMap
"Primary Health Centre, Pandalam Thekkekkara",Primary Health Centre (PHC),Pathanamthitta,,Adoor-Kaippattoor Road,,,,Department Of Health Services,9.1910621,76.7402165,way/960997641,OpenStreetMap
"Primary Health Centre, Parakkadavu",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.1950478,76.3476571,node/8889639236,OpenStreetMap
"Primary Health Centre, Parathanam",Primary Health Centre (PHC),Kottayam,,686512,+91-4828-287020,,,DEPARTMENT OF HEALTH SERVICES,9.5788843,76.8667299,way/800702161,OpenStreetMap
"Primary Health Centre, Parathodu",Primary Health Centre (PHC),Kottayam,,"PHC Parathodu, 26th mile edakunnam road, Edakkunnam, 686512",,,,Department of Health and Family Welfare,9.5486656,76.8385502,way/942925006,OpenStreetMap
"Primary Health Centre, Parippally",Primary Health Centre (PHC),Kollam,,0474-2575112,,,,Department of Health and Family Welfare,8.8102307,76.7608398,way/799267407,OpenStreetMap
"Primary Health Centre, Pattazhy",Primary Health Centre (PHC),Kollam,,,,,,Department of Health Services,9.0844503,76.7974645,node/7475499583,OpenStreetMap
"Primary Health Centre, Pattazhy Vadakkekara",Primary Health Centre (PHC),Kollam,,,,,,,9.0822316,76.8247708,way/863701726,OpenStreetMap
"Primary Health Centre, Pattimattom",Primary Health Centre (PHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.0239588,76.4447559,way/865226507,OpenStreetMap
"Primary health centre, Peralassery",Primary Health Centre (PHC),Kannur,,,,,,Government,11.8576467,75.4615511,way/799591755,OpenStreetMap
"Primary health centre, Peringalam",Primary Health Centre (PHC),Kannur,,,,,,,11.7192643,75.5862125,node/9065247666,OpenStreetMap
"Primary Health Centre, Peringottukurussi-I",Primary Health Centre (PHC),Palakkad,,"Kuzhalmannam-Perinkottukurushi Road, Pilappully, 678574",,,,Department of Health and Family Welfare,10.7557282,76.505049,way/863311841,OpenStreetMap
"Primary Health Centre, Perumanna klari",Primary Health Centre (PHC),Malappuram,,,,,,Department of Health and Family Welfare,10.9940685,75.9531922,way/800471909,OpenStreetMap
"Primary Health Centre, Perumpadappu",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,10.7020896,76.0052007,way/800663597,OpenStreetMap
"Primary Health Centre, Perur",Primary Health Centre (PHC),Palakkad,,,,,,,10.7701258,76.4821637,way/863724387,OpenStreetMap
"Primary Health Centre, Peruva",Primary Health Centre (PHC),Kannur,,,,,,Department of Health and Family Welfare,11.837871,75.7174566,way/800008264,OpenStreetMap
"Primary Health Centre, Pettah",Primary Health Centre (PHC),Thiruvananthapuram,,,,,,,8.5171666,76.9432381,node/8668118517,OpenStreetMap
"Primary Health Centre, Ponmundam",Primary Health Centre (PHC),Malappuram,,,,,,Department of health serivce,10.9530992,75.9467552,node/7486559556,OpenStreetMap
"Primary Health Centre, Poochapra",Primary Health Centre (PHC),Idukki,,,,,,Department of Health and Family Welfare,9.8269673,76.8499311,node/7481839534,OpenStreetMap
"Primary Health Centre, Pookottur",Primary Health Centre (PHC),Malappuram,,,,,,DHS,11.1073842,76.0547949,way/998727818,OpenStreetMap
"Primary Health Centre, Poomala",Primary Health Centre (PHC),Idukki,,"J65P+PMP, Killannur, Kerala 680581, poomala, 680581",+91-487 220 3288,,,,9.8431488,76.8495886,way/863479724,OpenStreetMap
"Primary Health Centre, Poruvazhy",Primary Health Centre (PHC),Kollam,,,,,,,9.1029674,76.6583547,node/9162398948,OpenStreetMap
"Primary Health Centre, Pramadam",Primary Health Centre (PHC),Pathanamthitta,,"vallicode kottayam, 689656",,,,DHS,9.218427,76.8096828,way/798230898,OpenStreetMap
"Primary Health Centre, Pudur",Primary Health Centre (PHC),Palakkad,,,,,,DEPARTMENT OF HEALTH SERVICES,11.1587153,76.6397246,way/806390866,OpenStreetMap
"Primary Health Centre, Punnakkad",Primary Health Centre (PHC),Malappuram,,,,,,,10.917994,76.1502646,way/1016900901,OpenStreetMap
"Primary Health Centre, Purakkad",Primary Health Centre (PHC),Alappuzha,,,+91-477 227 0798,,,DEPARTMENT OF HEALTH SERVICES,9.349033,76.3694803,way/800662207,OpenStreetMap
"Primary Health Centre, Puramattom",Primary Health Centre (PHC),Pathanamthitta,,"Puramattom, Puramattom kumbanad, 689543",,,,DHS,9.388708,76.6519998,way/767461631,OpenStreetMap
"Primary Health Centre, Puthucode",Primary Health Centre (PHC),Palakkad,,,,,,,10.6369053,76.4490455,way/827565118,OpenStreetMap
"Primary health centre, Puzhathi",Primary Health Centre (PHC),Kannur,,,,,,Government,11.903398,75.382096,node/7479617107,OpenStreetMap
"Primary Health Centre, Rajakad",Primary Health Centre (PHC),Idukki,,,,,,Department Of Health and Family Welfare,9.9616654,77.0969291,node/7476750806,OpenStreetMap
"Primary health centre, Ramanthali",Primary Health Centre (PHC),Kannur,,Kalletum Kadavu--Ramanthali Road,,,,Government,12.0643134,75.1983347,node/7473116340,OpenStreetMap
"Primary Health Centre, Ranni Angadi",Primary Health Centre (PHC),Pathanamthitta,,,,,,DHS,9.4104515,76.7792893,way/800234951,OpenStreetMap
"Primary Health Centre, Ranni Pazhavangadi",Primary Health Centre (PHC),Pathanamthitta,,,,,,,9.4420873,76.7977135,way/971290125,OpenStreetMap
"Primary Health Centre, Seethathodu",Primary Health Centre (PHC),Pathanamthitta,,"seethathodu, pathanamthitta, kerala, 689667",,,,DHS,9.3214193,76.9663307,way/800303004,OpenStreetMap
"Primary Health Centre, Sooranadu South",Primary Health Centre (PHC),Kollam,,"0476-2853340, Patharam, 690522",,,,Department of Health Services,9.076167,76.6065617,way/758300265,OpenStreetMap
"Primary Health Centre, Tanalur",Primary Health Centre (PHC),Malappuram,,,,,,government,10.9511378,75.9134452,way/800473827,OpenStreetMap
"Primary Health Centre, Teekoy",Primary Health Centre (PHC),Kottayam,,Erattupetta-Peermade Road,+91 4822 281 502,mophcteekoy@gmail.com,,Department of health services,9.6994489,76.8169141,way/800697902,OpenStreetMap
"Primary Health Centre, Thachanattukara",Primary Health Centre (PHC),Palakkad,,,,,,Department of Health and Family Welfare,10.9686122,76.3481551,way/837337252,OpenStreetMap
"Primary Health Centre, Thalachira",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,8.9838633,76.8470153,way/863478119,OpenStreetMap
"Primary Health Centre, Thalanad",Primary Health Centre (PHC),Kottayam,,"Thalanad Adukkam Road, Thalanadu, 686586",+91-4822-280598,,,DEPARTMENT OF HEALTH SERVICES,9.7251615,76.8202233,way/800697480,OpenStreetMap
"Primary Health Centre, Thammanam",Primary Health Centre (PHC),Ernakulam,,,,,,,9.9896091,76.3067297,node/10760691831,OpenStreetMap
"Primary Health Centre, Thelliyoor",Primary Health Centre (PHC),Pathanamthitta,,,,,,Department Of Health Services,9.3957115,76.6832055,way/804112491,OpenStreetMap
"Primary Health Centre, Thenkara",Primary Health Centre (PHC),Palakkad,,,,,,Department of Health and Family Welfare,11.0136198,76.4840583,node/9218065743,OpenStreetMap
"Primary Health Centre, Thenkurissi",Primary Health Centre (PHC),Palakkad,,,,,,,10.708819,76.6312684,node/10767897615,OpenStreetMap
"Primary Health Centre, Thennala",Primary Health Centre (PHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,11.0004681,75.9351246,way/800458548,OpenStreetMap
"Primary health centre, Therthally",Primary Health Centre (PHC),Kannur,,Payyannur-Peringome-Cherupuzha,,,,,12.2086964,75.4098283,node/7472860762,OpenStreetMap
"Primary Health Centre, Thevalakara",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,9.0118502,76.5753979,way/834232624,OpenStreetMap
"Primary Health Centre, Thiruvambady",Primary Health Centre (PHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.3629647,76.0100963,way/801539474,OpenStreetMap
"Primary Health Centre, Thiruvambady",Primary Health Centre (PHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.3515447,76.0055093,way/801540392,OpenStreetMap
"Primary Health Centre, Thiruvarppu",Primary Health Centre (PHC),Kottayam,,"Illickal - Thiruvarppu Road, Kottayam, 686020",,,,department of health services,9.5811036,76.4777964,node/7497361107,OpenStreetMap
"Primary Health Centre, Thodiyoor",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,9.0757683,76.5571286,way/895455203,OpenStreetMap
"Primary Health Centre, Thottappuzhassery",Primary Health Centre (PHC),Pathanamthitta,,,,,,DHS,9.3620106,76.7101564,way/799777514,OpenStreetMap
"Primary Health Centre, Thrikkaruva",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,8.9435069,76.5931877,way/863522293,OpenStreetMap
"primary Health Centre, Thrikkodithanam",Primary Health Centre (PHC),Kottayam,,"phc thrickodithanam, kottamuri, changanasserry, 686105",,,,Department of Health and Family Welfare,9.4496435,76.5694491,way/909079454,OpenStreetMap
"Primary Health Centre, Thurayur",Primary Health Centre (PHC),Kozhikode,,,,,,,11.5265784,75.654436,node/9910840361,OpenStreetMap
"Primary Health Centre, Thuvvur",Primary Health Centre (PHC),Malappuram,,,,,,government,11.1171521,76.2960544,way/800016224,OpenStreetMap
"Primary Health Centre, Trippangottoor",Primary Health Centre (PHC),Kannur,,,,,,Department of Public Health Service,11.7412614,75.6175797,way/800036662,OpenStreetMap
"Primary Health Centre, Triprangode",Primary Health Centre (PHC),Malappuram,,,,,,DHS,10.851114,75.9413726,way/974195931,OpenStreetMap
"Primary Health Centre, Udayanapuram",Primary Health Centre (PHC),Kottayam,,"padinjarekkara, kottayam, 686146",,,,Department of Health and Family Welfare,9.7664202,76.4224789,way/878600603,OpenStreetMap
"Primary Health Centre, Udumbunthala",Primary Health Centre (PHC),Kasaragod,,,,,,Department of Helth Service,12.1044654,75.1781145,node/7470596520,OpenStreetMap
"Primary health centre, Ulikkal",Primary Health Centre (PHC),Kannur,,,,,,Government,12.0652211,75.6653271,node/7481754735,OpenStreetMap
"Primary Health Centre, Urathur",Primary Health Centre (PHC),Kannur,,irikkur-blathoor road,,,,government,12.0118099,75.6002904,node/7479732175,OpenStreetMap
"Primary Health Centre, Urngattiri",Primary Health Centre (PHC),Thrissur,,"vettilappara, ATHIRAPPILLY",+91-480-2769181,phcvettilapara@gmail.com,,,10.2914514,76.5067887,way/663635644,OpenStreetMap
"Primary Health Centre, Vadavanoor",Primary Health Centre (PHC),Palakkad,,,,,,,10.6409368,76.6899583,node/8903184723,OpenStreetMap
"Primary Health Centre, Valanchery",Primary Health Centre (PHC),Malappuram,,,,,,DHS,10.8940458,76.0762415,way/998738611,OpenStreetMap
"Primary Health Centre, Vallikkavu",Primary Health Centre (PHC),Kollam,,,,,,Department of Health and Family Welfare,9.0925209,76.4947064,way/981583267,OpenStreetMap
"Primary health centre, Vallithodu",Primary Health Centre (PHC),Kannur,,Thalassery - Coorg Highway,,,,Government,12.038912,75.7156867,node/7481777011,OpenStreetMap
"Primary Health Centre, Vaninagar",Primary Health Centre (PHC),Kasaragod,,"vaninagar padre, Belur, 671552",,,,Department of health service,12.6200877,75.145836,way/799025670,OpenStreetMap
"Primary Health Centre, Vannamada",Primary Health Centre (PHC),Palakkad,,,,,,Department of Health And Family Welfare,10.7018411,76.8536325,way/863734506,OpenStreetMap
"Primary Health Centre, Vattukulangara",Primary Health Centre (PHC),Kottayam,,,,,,government,9.6629982,76.6162501,way/941046562,OpenStreetMap
"Primary Health Centre, Vazhappally",Primary Health Centre (PHC),Kottayam,,"phc vazhappally, puthuchira, Itithanam, 686106",,,,Department of Health and Family Welfare,9.4803436,76.5567329,way/938351177,OpenStreetMap
"Primary Health Centre, Vazhathope",Primary Health Centre (PHC),Idukki,,,,,,DEPARTMENT OF HALTH SERVICES,9.886373,76.950775,node/7476750807,OpenStreetMap
"Primary Health Centre, Veliyannoor",Primary Health Centre (PHC),Kottayam,,"Uzhavoor Koothattukulam Road, kottayam, 686634",,,,Department of Health and Family Welfare,9.8231724,76.6085328,way/801576327,OpenStreetMap
